     1→  1918→Task ID: AUDIT-5-i18n
    55→  1972→ISSUE: "NextGen Digital Studio" is hardcoded English in the copyright line. When lang=BN, the line reads "© 2026 NextGen Digital Studio. সর্বস্বত্ব সংরক্ষিত।" — mixed language. Should use `t('brand.name')` which returns 'নেক্সটজেন ডিজিটাল স্টুডিও' in BN.
    56→  1973→EVIDENCE: footer.tsx:292 `© {year} NextGen Digital Studio. {t('footer.rights')}`. The same file already uses `t('brand.name')` on line 179 (brand display) and 184 (sheet title) — so the key exists.
    57→  1974→FIX: Replace `NextGen Digital Studio` with `{t('brand.name')}` on line 292.
    58→  1975→
    59→  1976→[I18N-010] [SEVERITY: P2] [TYPE: HardcodedEN]
    60→  1977→FILE: src/components/site/ai-chat-widget.tsx:282
    61→  1978→LINE: `ME` (UserAvatar component)
    62→  1979→ISSUE: UserAvatar shows hardcoded English "ME" label even in BN mode.
    63→  1980→EVIDENCE: `<div className="...">ME</div>` — no t() call.
    64→  1981→FIX: Replace with `{lang === 'bn' ? 'আমি' : 'ME'}` (destructure `lang` from useLang). Or use `t('chat.userAvatar')` with a new key.
    65→  1982→
    66→  1983→[I18N-011] [SEVERITY: P2] [TYPE: HardcodedEN]
    67→  1984→FILE: src/components/site/top-bar.tsx:74
    68→  1985→LINE: `<span className="xs:hidden sm:hidden sr-only">Book</span>`
    69→  1986→ISSUE: Screen-reader-only text "Book" is hardcoded English. Screen readers will announce "Book" in English even on BN pages.
    70→  1987→EVIDENCE: Line 74 hardcoded. The visible label on line 72 correctly uses `t('cta.bookCall')`.
    71→  1988→FIX: Replace with `<span className="xs:hidden sm:hidden sr-only">{t('cta.bookCall')}</span>` (or just remove — the visible label already serves SR users).
    72→  1989→
    73→  1990→[I18N-012] [SEVERITY: P2] [TYPE: HardcodedEN]
    74→  1991→FILE: src/components/site/sections/industries.tsx:116
    75→  1992→LINE: `<p ...>Outcomes we deliver</p>`
    76→  1993→ISSUE: Section subheader in industry modal is hardcoded English.
    77→  1994→EVIDENCE: industries.tsx:116 raw string. Surrounding code (lines 112-113, 124) correctly uses `tr()`.
    78→  1995→FIX: Replace with `{lang === 'bn' ? 'যে ফলাফল আমরা দিই' : 'Outcomes we deliver'}` OR add a key.
    79→  1996→
    80→  1997→[I18N-013] [SEVERITY: P2] [TYPE: HardcodedEN]
    81→  1998→FILE: src/components/site/sections/industries.tsx:135
    82→  1999→LINE: `Get a custom plan for {tr(ind.name)}`
    83→  2000→ISSUE: "Get a custom plan for" prefix is hardcoded English. In BN mode, button reads "Get a custom plan for ছোট ও মাঝারি ব্যবসা" — mixed language.
    84→  2001→EVIDENCE: industries.tsx:135 raw string prefix.
    85→  2002→FIX: Replace with `{lang === 'bn' ? `${tr(ind.name)} এর জন্য কাস্টম প্ল্যান` : `Get a custom plan for ${tr(ind.name)}`}`.
    86→  2003→
    87→  2004→[I18N-014] [SEVERITY: P2] [TYPE: DeadCode]
    88→  2005→FILE: src/components/site/language-provider.tsx:78, 515
    89→  2006→LINE: EN:78 `'lang.toggle': 'বাংলা'`, BN:515 `'lang.toggle': 'EN'`
    90→  2007→ISSUE: `lang.toggle` translation key is defined in BOTH dictionaries but never referenced anywhere in the codebase. The LanguageToggle components (language-toggle.tsx and navbar.tsx LangToggle) use hardcoded 'EN'/'বাং'/'BN' strings instead.
    91→  2008→EVIDENCE: `rg "t\(['\"]lang\.toggle['\"]\)" src` → 0 matches. Both language-toggle.tsx:22-27 and navbar.tsx:67-69 use raw `'EN'`/`'BN'`/`'বাং'` literals.
    92→  2009→FIX: Either delete the unused `lang.toggle` keys, OR refactor the toggles to use `t('lang.toggle')` for the active-language label.
    93→  2010→
    94→  2011→[I18N-015] [SEVERITY: P2] [TYPE: MixedLanguage]
    95→  2012→FILE: src/components/site/ai-chat-widget.tsx:54-62
    96→  2013→LINE: 55-61 (setMessages inside `if (initialized.current) return` block)
    97→  2014→ISSUE: The welcome message (`t('chat.welcome')`) is captured ONCE on first mount and stored in state. If user toggles language AFTER the chat widget has mounted, the welcome message stays in the original language.
    98→  2015→EVIDENCE: `initialized.current = true` guard prevents re-running the effect. `messages[0].content` is never updated when `lang` changes.
    99→  2016→FIX: Add a separate useEffect that updates `messages[0].content` when `lang` changes:
   100→  2017→```js
   101→  2018→React.useEffect(() => {
   102→  2019→  setMessages(prev => prev.map(m => m.id === 'welcome' ? { ...m, content: t('chat.welcome') } : m))
   103→  2020→}, [lang, t])
   104→  2021→```
   105→  2022→
   106→  2023→[I18N-016] [SEVERITY: P2] [TYPE: HardcodedEN (by design)]
   107→  2024→FILE: src/components/site/logo.tsx:32-36
   108→  2025→LINE: 32 `<span className="font-display ...">NextGen</span>`, 34 `<span className="...">Digital Studio</span>`
   109→  2026→ISSUE: Logo wordmark is hardcoded English. The font-display class (ForzonDEMO) only has 59 glyphs (A-Z a-z space comma period) so it CAN'T render Bengali. This is by design — the visual wordmark should stay consistent across languages.
   110→  2027→EVIDENCE: logo.tsx:32-36 raw strings. The `font-display` class comment in globals.css:183-185 explicitly warns about this limitation.
   111→  2028→FIX: No fix needed — intentional. Document in code comment that the wordmark is intentionally English-only.
   112→  2029→
   113→  2030→[I18N-017] [SEVERITY: P2] [TYPE: CodeSmell]
   114→  2031→FILE: src/app/services/[slug]/landing-client.tsx, src/app/founder/founder-client.tsx, src/components/site/landing-common.tsx
   115→  2032→ISSUE: Heavy use of `isBn ? 'Bengali string' : 'English string'` inline ternaries instead of `t()` keys. ~30+ instances across these files. Works functionally but creates maintenance burden (typos possible, no central dictionary, can't audit for missing translations).
   116→  2033→EVIDENCE: landing-client.tsx lines 56, 88, 95, 101, 107, 120, 122, 134-135, 140, 153, 157-158, 164-165, 171, 182, 184, 188-189, 197. founder-client.tsx lines 38, 41-49, 52, 55-57, 85, 97-100, 114, 116, 120-132, 141, 143, 147-151, 169-177, 187, 194-195. landing-common.tsx lines 73, 114, 129, 154, 157, 170, 175, 188, 207-229, 240, 244, 298, 302, 306, 311, 316, 323.
   117→  2034→FIX: Refactor to use `t('key.path')` with keys added to the dictionaries. Lower priority — current behavior is correct, just unmaintainable.
   118→  2035→
   119→  2036→[I18N-018] [SEVERITY: P2] [TYPE: Numeral]
   120→  2037→FILE: src/app/services/[slug]/landing-client.tsx:138
   121→  2038→LINE: `#{i + 1}{' '}<span className="text-muted-foreground">{isBn ? 'প্রায়োরিটি' : 'priority'}</span>`
   122→  2039→ISSUE: The `#{i + 1}` renders Western digits (1, 2, 3...) even in BN mode. Should use the `bn()` numeral helper to render ১, ২, ৩...
   123→  2040→EVIDENCE: landing-client.tsx:138 raw `i + 1` arithmetic — no bn() conversion. The `isBn ? 'প্রায়োরিটি' : 'priority'` ternary correctly translates the word but not the number.
   124→  2041→FIX: Define `bn` helper (same pattern as pricing.tsx:35-41) and use `#{bn(i + 1)}` instead of `#{i + 1}`.
   125→  2042→
   126→  2043→[I18N-019] [SEVERITY: P1] [TYPE: Mismatch]
   127→  2044→FILE: src/lib/site-data.ts:342-463 (services array `features` fields) + src/components/site/language-provider.tsx (contentBn dictionary)
   128→  2045→ISSUE: NONE of the 47 service feature bullet strings in `services[].features` arrays exist in the `contentBn` translation dictionary. The service landing page calls `tr(f)` on each feature, but `tr()` falls back to the English string when the key isn't found.
   129→  2046→EVIDENCE: Programmatically verified: extracted 47 unique feature strings from site-data.ts (e.g. 'AI lead scoring', 'Auto follow-up sequences', 'CRM pipeline sync', 'Meeting booking', 'Trained on your data', 'Multilingual', 'Inbound & outbound', 'Bangla + English', 'Pipeline automation', etc.). Cross-referenced against contentBn body → 0/47 found. So in BN mode, ALL 12 service landing pages (/services/ai-sales-automation through /services/ai-consultation) show English feature bullets.
   130→  2047→FIX: Add all 47 feature strings to the contentBn dictionary in language-provider.tsx (around line 924 'Capabilities' section is a good place). Each entry like `'AI lead scoring': 'এআই লিড স্কোরিং'`. ~50 lines of new translations.
   131→  2048→
   132→  2049→[I18N-020] [SEVERITY: P1] [TYPE: HardcodedEN]
   133→  2050→FILE: src/app/case-studies/page.tsx (entire file) + src/app/blog/page.tsx (entire file)
   134→  2051→ISSUE: Both /case-studies and /blog index pages are SERVER-RENDERED with 100% hardcoded English content. Zero `t()` or `tr()` calls. When user toggles to BN, the navbar/footer switch but the page body stays entirely English.
   135→  2052→EVIDENCE: case-studies/page.tsx lines 37 ("Case Studies"), 40 ("Real Results from Real Businesses"), 42-46 (description), 61 (cs.industry), 64 (cs.title), 67 (cs.summary), 73 (m.value), 76 (m.label), 82 ("Read full case study"), 92 ("Want results like these?"), 94-97 (CTA text), 103 ("Get Your Free Strategy Session"). blog/page.tsx lines 37, 40, 42-46, 62 (post.category), 66 (post.date), 70 (post.readTime), 78 (post.title), 82 (post.excerpt), 94, 96-99, 105. Also `caseStudies` and `blogPosts` data in site-data.ts have NO Bengali fields.
   136→  2053→FIX: Convert both pages to client components ('use client') and use `t()` keys + `tr()` for data fields. Add BN fields to `CaseStudy` and `blogPost` types in site-data.ts (mirror the `Testimonial` pattern with nameBn/quoteBn/etc.). This is a substantial refactor — ~150 lines per page.
   137→  2054→
   138→  2055→[I18N-021] [SEVERITY: P2] [TYPE: SEO]
   139→  2056→FILE: src/app/services/[slug]/page.tsx:24
   140→  2057→LINE: `title: \`${service.title} — ${siteConfig.name}\``
   141→  2058→ISSUE: Service landing page metadata title is hardcoded English (service.title is always English). No BN alternative for `<title>` tag or OG title. Same for `description: service.description` and `keywords`.
   142→  2059→EVIDENCE: page.tsx:24-31. Service title comes from `services[]` array which is English-only (site-data.ts:342-463).
   143→  2060→FIX: Use `generateMetadata` to read cookies/headers for lang, OR generate both EN and BN metadata with `alternates.languages`. Lower priority since the page itself uses tr() for visible content — but search engines will always see English metadata.
   144→  2061→
   145→  2062→[I18N-022] [SEVERITY: P2] [TYPE: SEO]
   146→  2063→FILE: src/app/founder/page.tsx:5-7
   147→  2064→LINE: `title: 'তাজ ভাই — Founder of NextGen Digital Studio | Md. Nazmul Islam Taj'`
   148→  2065→ISSUE: Founder page metadata MIXES Bengali and English in the title and description. Search engines may have trouble categorizing the page language.
   149→  2066→EVIDENCE: page.tsx:5 mixed title, line 7 mixed description ('পরিচয় করুন ... এর প্রতিষ্ঠাতা ... Meet Taj Bhai — Jessore first digital engineer').
   150→  2067→FIX: Pick one language for metadata (probably English for SEO, since most search traffic will be English-keyword-based). Or use `alternates.languages` to provide both EN and BN metadata.
   151→  2068→
   152→  2069→[FONTS-001] [SEVERITY: P2] [TYPE: Font]
   153→  2070→FILE: src/app/globals.css:13-21
   154→  2071→LINE: 16 `font-weight: 400 700;`
   155→  2072→ISSUE: MahfujLipi (Bengali font) is declared with weight range 400-700, but it's actually a single-weight font (303KB TTF). The `400 700` range syntax tells the browser to use this face for any weight 400-700, but the font itself only has one weight — so 500/600/700 will be synthetic faux-bold/faux-regular renders. The Bengali text won't look truly bold at weight 700.
   156→  2073→EVIDENCE: TTF file is 303KB — too small to contain multiple weights (a multi-weight TTF is usually 1-3MB). Single-weight declared as range.
   157→  2074→FIX: Verify with the font's author (MahfujLipi is a free Bengali font — check if a Bold variant exists). If not, change to `font-weight: 400;` and accept that Bengali bold will be synthetically rendered. Acceptable trade-off — Bengali readers are accustomed to this.
   158→  2075→
   159→  2076→[FONTS-002] [SEVERITY: P2] [TYPE: Font]
   160→  2077→FILE: src/app/globals.css:22-34
   161→  2078→LINE: 25 `font-weight: 400;`
   162→  2079→ISSUE: ForzonDEMO (display font) only has weight 400. The logo.tsx uses `font-extrabold` (800) class on the wordmark, but the font only provides 400 — browser will synthesize a faux-bold. The premium look may be slightly off.
   163→  2080→EVIDENCE: globals.css:25 `font-weight: 400;`. logo.tsx:31 `className="font-display text-[15px] font-extrabold ..."`.
   164→  2081→FIX: Remove `font-extrabold` from logo.tsx:31 (the ForzonDEMO Italic shapes are already visually heavy). OR accept the faux-bold — visually verified as acceptable.
   165→  2082→
   166→  2083→[FONTS-003] [SEVERITY: P1] [TYPE: PWA/SEO]
   167→  2084→FILE: src/app/manifest.ts:13-24
   168→  2085→LINE: 13-24 `icons: [{ src: "/favicon.svg", sizes: "any", type: "image/svg+xml" }, { src: "/icon.svg", sizes: "any", type: "image/svg+xml" }]`
   169→  2086→ISSUE: Manifest only declares 2 SVG icons. PWA install on Android (Chrome) and iOS (Safari) requires PNG icons at 192x192 and 512x512. SVG-only manifests fail validation on most PWA installers. The `apple-icon.png` (512x512 PNG) exists in /public/ but is NOT referenced in the manifest.
   170→  2087→EVIDENCE: manifest.ts:13-24 only SVG. `ls /home/z/my-project/public/apple-icon.png` → exists (512x512 PNG).
   171→  2088→FIX: Add PNG entries to manifest icons array:
   172→  2089→```js
   173→  2090→{ src: "/apple-icon.png", sizes: "512x512", type: "image/png", purpose: "any" },
   174→  2091→{ src: "/apple-icon.png", sizes: "192x192", type: "image/png", purpose: "maskable" }
   175→  2092→```
   176→  2093→Also consider generating a 192x192 PNG (currently only 512x512 exists).
   177→  2094→
   178→  2095→[FONTS-004] [SEVERITY: P2] [TYPE: i18n]
   179→  2096→FILE: src/app/manifest.ts:6-9
   180→  2097→LINE: 6 `name: siteConfig.name`, 7 `short_name: siteConfig.shortName`, 8 `description: siteConfig.description`
   181→  2098→ISSUE: Manifest name/short_name/description are hardcoded English (from `siteConfig` in site-data.ts:1096-1118). No Bengali alternative. PWA install prompt will show English text even on BN devices.
   182→  2099→EVIDENCE: siteConfig.name = 'NextGen Digital Studio' (English). No `nameBn` field on `siteConfig` (the other `SITE_CONFIG` export at site-data.ts:4-21 DOES have `nameBn: 'নেক্সটজেন ডিজিটাল স্টুডিও'` but it's not used by manifest.ts).
   183→  2100→FIX: Lower priority — device locale usually decides manifest language. Could add `lang: "en"` and an alternate BN manifest, but the spec is poorly supported. Acceptable as-is.
   184→  2101→
   185→  2102→[LAYOUT-001] [SEVERITY: P2] [TYPE: CodeSmell]
   186→  2103→FILE: src/components/site/theme-provider.tsx:13 + src/app/layout.tsx:328
   187→  2104→LINE: theme-provider.tsx:13 `defaultTheme="dark"`, layout.tsx:328 `defaultTheme="light"`
   188→  2105→ISSUE: theme-provider.tsx hardcodes `defaultTheme="dark"` but layout.tsx overrides with `defaultTheme="light"` via props spread. The dual config is confusing — a future dev reading theme-provider.tsx would think the default is dark.
   189→  2106→EVIDENCE: theme-provider.tsx:11-16 sets defaultTheme="dark" then spreads {...props} which contains defaultTheme="light" from layout.tsx:326-330. Spread overrides → effective default is "light".
   190→  2107→FIX: Remove the hardcoded `defaultTheme="dark"` from theme-provider.tsx:13 (let it be purely prop-driven). OR remove `defaultTheme="light"` from layout.tsx:328 (let theme-provider.tsx own the default). Pick ONE source of truth.
   191→  2108→
   192→  2109→[LAYOUT-002] [SEVERITY: P1] [TYPE: SEO]
   193→  2110→FILE: src/app/sitemap.ts:9-32
   194→  2111→LINE: 9-32 staticPages array
   195→  2112→ISSUE: Sitemap is missing 5+ live routes that return HTTP 200: `/blog`, `/case-studies`, `/blog/[slug]` (4 dynamic posts), `/case-studies/[slug]` (4 dynamic case studies). Total 13 URLs missing from sitemap.
   196→  2113→EVIDENCE: sitemap.ts:9-32 only lists 21 routes (homepage, /founder, 6 landing pages, 11 services, /privacy, /terms, /docs). Verified `/blog` and `/case-studies` return 200 via curl. /blog/[slug] routes exist (verified via `ls src/app/blog/[slug]`).
   197→  2114→FIX: Add to staticPages: `{ url: '/blog', priority: 0.7, changefreq: 'weekly' }`, `{ url: '/case-studies', priority: 0.7, changefreq: 'weekly' }`. Then add dynamic generation: import `blogPosts` and `caseStudies` from site-data.ts, map to entries with `/blog/${post.slug}` and `/case-studies/${cs.slug}`.
   198→  2115→
   199→  2116→[LAYOUT-003] [SEVERITY: P2] [TYPE: DeadCode]
   200→  2117→FILE: src/components/site/google-analytics.tsx (entire file, 23 lines)
   201→  2118→ISSUE: GoogleAnalytics component is NEVER imported or rendered anywhere in the codebase. GA4 is already initialized by AnalyticsPixels in analytics-pixels.tsx:24-30. The google-analytics.tsx file is dead code that duplicates the GA4 setup.
   202→  2119→EVIDENCE: `rg "from '@/components/site/google-analytics'" src` → 0 matches. `rg "<GoogleAnalytics" src` → 0 matches.
   203→  2120→FIX: Delete `src/components/site/google-analytics.tsx`. It's dead code and could confuse future devs into double-initializing GA4.
   204→  2121→
   205→  2122→[LAYOUT-004] [SEVERITY: P2] [TYPE: Perf]
   206→  2123→FILE: src/components/site/top-bar.tsx:62-63
   207→  2124→LINE: 62 `<LanguageToggle className="inline-flex sm:hidden" compact />`, 63 `<LanguageToggle className="hidden sm:inline-flex" />`
   208→  2125→ISSUE: Two LanguageToggle components are mounted simultaneously (one for mobile, one for desktop) — both render and run their hooks, only one is shown via CSS. Wastes a small amount of render time and creates two elements in the DOM.
   209→  2126→EVIDENCE: top-bar.tsx:62-63 two LanguageToggle instances.
   210→  2127→FIX: Use a single LanguageToggle with responsive className, OR use CSS to hide/show the icon based on viewport. Minor perf issue.
   211→  2128→
   212→  2129→[I18N-023] [SEVERITY: P2] [TYPE: CodeSmell]
   213→  2130→FILE: src/lib/site-data.ts:4-21 (SITE_CONFIG) + 1096-1118 (siteConfig)
   214→  2131→ISSUE: Two near-identical config objects exported from the same file: `SITE_CONFIG` (uppercase, has nameBn) and `siteConfig` (lowercase, no nameBn, has more fields like mapsQuery/slogan/founder). Confusing — different pages import different ones.
   215→  2132→EVIDENCE: site-data.ts:4 `export const SITE_CONFIG = {...}`, line 1096 `export const siteConfig = {...}`. footer.tsx imports SITE_CONFIG (line 27), manifest.ts imports siteConfig (line 2), layout.tsx imports siteConfig (line 9).
   216→  2133→FIX: Merge into a single `siteConfig` object that includes ALL fields (nameBn, mapsQuery, slogan, founder, etc.). Update the 4 files that import SITE_CONFIG to use siteConfig. Lower priority — pre-existing, noted in worklog Task 3.
   217→  2134→
   218→  2135→[I18N-024] [SEVERITY: P2] [TYPE: Mismatch]
   219→  2136→FILE: src/lib/site-data.ts:786-810 (teamMembers)
   220→  2137→LINE: 786-790 first entry is in BENGALI (`'ইঞ্জিনিয়ার মোঃ নাজমুল ইসলাম তাজ'`), lines 793-809 other 3 entries are in ENGLISH ('AI Engineer', 'Growth Specialist', 'Automation Architect')
   221→  2138→ISSUE: teamMembers array mixes Bengali and English in the SAME fields. The first entry (founder) has Bengali name/role/bio, the other 3 have English. No `nameBn`/`roleBn`/`bioBn` fields for switching.
   222→  2139→EVIDENCE: site-data.ts:786 `name: 'ইঞ্জিনিয়ার মোঃ নাজমুল ইসলাম তাজ'` (Bengali), line 793 `name: 'AI Engineer'` (English). Inconsistent schema.
   223→  2140→FIX: Either give all 4 entries Bengali names + add `nameEn`/`roleEn`/`bioEn` fields, OR make all 4 English + add `nameBn`/`roleBn`/`bioBn` fields. The team section component (sections/team.tsx) would need to switch based on lang.
   224→  2141→
   225→  2142→[I18N-025] [SEVERITY: P2] [TYPE: HardcodedEN]
   226→  2143→FILE: src/app/founder/founder-client.tsx:152
   227→  2144→LINE: 152 `{ Icon: Award, t: isBn ? 'মান' : 'Quality', d: isBn ? '...' : '...' },`
   228→  2145→ISSUE: Local variable named `t` shadows the `t` function from useLang(). Confusing for future devs. Also the ternary pattern is the same anti-pattern as I18N-017.
   229→  2146→EVIDENCE: founder-client.tsx:152 `t: isBn ? 'মান' : 'Quality'`. The component destructures only `lang` from useLang() (line 20), so no actual conflict — but the variable name `t` is misleading.
   230→  2147→FIX: Rename the local variable from `t` to `title` or `label`.
   231→  2148→
   232→  2149→[I18N-026] [SEVERITY: P2] [TYPE: HardcodedEN]
   233→  2150→FILE: src/components/site/landing-common.tsx:212, 216, 220
   234→  2151→LINE: 212 `placeholder="+880 1XXX-XXXXXX"`, 216 `placeholder="you@company.com"`, 220 `placeholder="Company name"` (only in EN branch)
